"Wang Jianlin","64","2014","1988","Dalian Wanda Group","founder","real estate","new","59","male","China","CHN","0.0","East Asia","self-made finance","15.1","Financial","True","Real Estate","not inherited","True","True"
"Nina Wang","80","1996","1960","Chinachem Group","relation","chemicals","new","0","female","Hong Kong","HKG","160000000000.0","East Asia","inherited","3.3","Financial","True","Real Estate","spouse/widow","True","True"
"Ma Huateng","80","2014","1998","Tencent","founder","internet","new","42","male","China","CHN","0.0","East Asia","founder non-finance","13.4","New Sectors","True","Technology-Computer","not inherited","True","True"
"Robin Li","91","2014","2000","Baidu","founder","internet","new","45","male","China","CHN","0.0","East Asia","founder non-finance","12.1","New Sectors","True","Technology-Computer","not inherited","True","True"
"Zong Qinghou","94","2014","1987","Hangzhou Wahaha Group","founder","beverages","new","68","male","China","CHN","0.0","East Asia","founder non-finance","11.6","Traded Sectors","True","Consumer","not inherited","True","True"
"Nina Wang","109","2001","1960","Chinachem Group","relation","chemicals","new","0","female","Hong Kong","HKG","169000000000.0","East Asia","inherited","3.7","Financial","True","Real Estate","spouse/widow","True","True"
"Li Hejun","117","2014","1994","Hanergy Solar","founder/chairman","energy","new","46","male","China","CHN","0.0","East Asia","privatized and resources","10.3","Resource Related","True","Energy","not inherited","True","True"
"Jack Ma","122","2014","1999","Alibaba group","founder","internet","new","49","male","China","CHN","0.0","East Asia","founder non-finance","10.0","New Sectors","True","Technology-Computer","not inherited","True","True"
"Tsai Eng-Meng","130","2014","1962","Want Want China","relation","food","new","57","male","Taiwan","Taiwan","0.0","East Asia","inherited","9.5","Traded Sectors","True","Consumer","father","True","True"
"He Xiangjian","190","2014","1968","Midea","founder","appliances","new","71","male","China","CHN","0.0","East Asia","founder non-finance","7.1","Traded Sectors","True","Consumer","not inherited","True","True"
"Wei Jianjun","196","2014","1984","Great Wall Motors","chairman","autos","privatization","50","male","China","CHN","0.0","East Asia","privatized and resources","6.9","Traded Sectors","True","Consumer","not inherited","True","True"
"Yang Huiyan","196","2014","1997","Country Garden Holdings","relation","property development","new","32","female","China","CHN","0.0","East Asia","inherited","6.9","Financial","True","Real Estate","father","True","True"
"Chan Laiwa","234","2014","1988","Fuwah International Group","founder","real estate","new","73","female","China","CHN","0.0","East Asia","self-made finance","6.0","Financial","True","Real Estate","not inherited","True","True"
"Hui Ka Yan","244","2014","1997","Evergrande Group","chairman","real estate","new","55","male","China","CHN","0.0","East Asia","self-made finance","5.7","Financial","True","Real Estate","not inherited","True","True"
"Liu Yongxing","256","2014","1982","East Hope Group","founder","agribusiness","new","65","male","China","CHN","0.0","East Asia","founder non-finance","5.5","Traded Sectors","True","Consumer","not inherited","True","True"
"Zhang Zhidong","305","2014","1998","Tencent","founder","internet","new","42","male","China","CHN","0.0","East Asia","founder non-finance","4.8","New Sectors","True","Technology-Computer","not inherited","True","True"
"Guo Guangchang","345","2014","1992","Fosun Group","founder","investment","new","47","male","China","CHN","0.0","East Asia","self-made finance","4.3","Financial","True","Diversified financial","not inherited","True","True"
"Liang Wengen","345","2014","1989","Sany Heavy Industry","founder","heavy manufacturing","new","57","male","China","CHN","0.0","East Asia","founder non-finance","4.3","Traded Sectors","True","Non-consumer industrial","not inherited","True","True"
"Wang Chuanfu","345","2014","1995","BYD Company","founder","mobile phone batteries","new","48","male","China","CHN","0.0","East Asia","founder non-finance","4.3","Traded Sectors","True","Consumer","not inherited","True","True"
"Wang Wenyin","354","2014","1994","Amer International Group","owner","copper/mining","new","46","male","China","CHN","0.0","East Asia","privatized and resources","4.2","Resource Related","True","Mining and metals","not inherited","True","True"
"William Ding","354","2014","1997","NetEase","founder and CEO","internet","new","42","male","China","CHN","0.0","East Asia","founder non-finance","4.2","New Sectors","True","Technology-Computer","not inherited","True","True"
"Lei Jun","375","2014","2010","Xiaomi Tech","founder","technology","new","44","male","China","CHN","0.0","East Asia","founder non-finance","4.0","Traded Sectors","True","Consumer","not inherited","True","True"
"Wang Wei","375","2014","1993","S.F. Express","founder","express delivery services","new","0","male","China","CHN","0.0","East Asia","founder non-finance","4.0","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Rong Yiren","387","2001","1978","China International Trust and Investment Corp","founder","investment","new","0","male","China","CHN","1330000000000.0","East Asia","privatized and resources","1.3","Financial","True","Money Management","not inherited","True","True"
"Jiang Bin","408","2014","2001","GoerTek","founder","electronic componants","new","47","male","China","CHN","0.0","East Asia","founder non-finance","3.7","New Sectors","True","Technology-Computer","not inherited","True","True"
"Wu Yajun","408","2014","1995","Longfor Properties","founder","real estate","new","50","female","China","CHN","0.0","East Asia","privatized and resources","3.7","Financial","True","Real Estate","not inherited","True","True"
"Zhang Jindong","408","2014","1990","Suning Group","founder/president","retail, home appliances","new","50","male","China","CHN","0.0","East Asia","founder non-finance","3.7","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Zhang Xin","408","2014","1995","SOHO China","founder","real estate","new","48","female","China","CHN","0.0","East Asia","self-made finance","3.7","Financial","True","Real Estate","not inherited","True","True"
"Zhang Shiping","430","2014","1994","China Hongqiao","founder","aluminum","new","67","male","China","CHN","0.0","East Asia","privatized and resources","3.6","Resource Related","True","Mining and metals","not inherited","True","True"
"Lu Guanqiu","446","2014","1969","Wanxiang Group","founder","automotive parts","new","69","male","China","CHN","0.0","East Asia","self-made finance","3.5","Financial","True","Diversified financial","not inherited","True","True"
"Sun Guangxin","466","2014","1989","Xinjiang Guanghui Industry Investment Group","founder","energy","new","51","male","China","CHN","0.0","East Asia","self-made finance","3.4","Financial","True","Diversified financial","not inherited","True","True"
"Fu Liquan","483","2014","2001","Zhejiang Dahua Technology","chairman","security and surveillance technology","new","46","male","China","CHN","0.0","East Asia","executive","3.3","New Sectors","True","Technology-Computer","not inherited","True","True"
"Liu Yonghao","506","2014","1982","New Hope Group","founder","animal feed","new","62","male","China","CHN","0.0","East Asia","founder non-finance","3.2","Traded Sectors","True","Consumer","not inherited","True","True"
"Lu Xiangyang","506","2014","1995","BYD","vice chairman","automobiles","new","51","male","China","CHN","0.0","East Asia","executive","3.2","Traded Sectors","True","Consumer","not inherited","True","True"
"Shi Yuzhu","520","2014","2005","Giant Interactive","founder","software","new","51","male","China","CHN","0.0","East Asia","founder non-finance","3.1","New Sectors","True","Technology-Computer","not inherited","True","True"
"Lu Zhiqiang","551","2014","1985","Oceanwide Group of Beijing","chairman","real estate, financial services and computers","new","61","male","China","CHN","0.0","East Asia","self-made finance","3.0","Financial","True","Diversified financial","not inherited","True","True"
"Wang Yusuo","551","2014","1992","ENN Energy Group","founder","natural gas","new","49","male","China","CHN","0.0","East Asia","privatized and resources","3.0","Resource Related","True","Energy","not inherited","True","True"
"Huang Rulun","609","2014","1991","Century Golden Resources Group","founder","real estate","new","62","male","China","CHN","0.0","East Asia","self-made finance","2.8","Financial","True","Real Estate","not inherited","True","True"
"Yang Kai","609","2014","1951","China Huishan Dairy Holding","chairman","dairy products","new","57","male","China","CHN","0.0","East Asia","executive","2.8","Traded Sectors","True","Consumer","not inherited","True","True"
"Liu Qiangdong","642","2014","2004","JD.com","founder","e-commerce","new","39","male","China","CHN","0.0","East Asia","founder non-finance","2.7","New Sectors","True","Technology-Computer","not inherited","True","True"
"Qiu Guanghe","642","2014","1996","Zhejiang Semir Garment","chairman","retail","new","62","male","China","CHN","0.0","East Asia","founder non-finance","2.7","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Tong Jinquan","642","2014","1992","Summit","chairman","real estate","new","59","male","China","CHN","0.0","East Asia","self-made finance","2.7","Financial","True","Real Estate","not inherited","True","True"
"Hui Lin Chit","663","2014","1985","Hengan Internationl Group Company Limited","founder","diapers","new","61","male","China","CHN","0.0","East Asia","founder non-finance","2.6","Traded Sectors","True","Consumer","not inherited","True","True"
"Pan Zhengmin","663","2014","1993","AAC Technologies","founder","electronics","new","44","male","China","CHN","0.0","East Asia","founder non-finance","2.6","New Sectors","True","Technology-Computer","not inherited","True","True"
"Sze Man Bok","663","2014","1985","Hengan Internationl Group Company Limited","founder","diapers","new","64","male","China","CHN","0.0","East Asia","founder non-finance","2.6","Traded Sectors","True","Consumer","not inherited","True","True"
"Pang Kang","687","2014","1720","Foshan Haitian Flavoring and Food","chairman","soy sauce","new","58","male","China","CHN","0.0","East Asia","executive","2.5","Traded Sectors","True","Consumer","not inherited","True","True"
"Liang Yunchao","731","2014","1995","Guangdong By-Health Biotechnology","founder","nutrition supplements","new","45","male","China","CHN","0.0","East Asia","founder non-finance","2.4","Traded Sectors","True","Consumer","not inherited","True","True"
"Ma Jianrong","731","2014","1990","Shenzhou International","relative","textiles","new","50","male","China","CHN","0.0","East Asia","inherited","2.4","Traded Sectors","True","Consumer","father","True","True"
"Cai Kui","764","2014","1995","Longfor Properties","founder","real estate","new","51","male","China","CHN","0.0","East Asia","self-made finance","2.3","Financial","True","Real Estate","not inherited","True","True"
"Chen Fashu","764","2014","2000","Zijin Mining Group","investor","mining","new","53","male","China","CHN","0.0","East Asia","self-made finance","2.3","Financial","True","Diversified financial","not inherited","True","True"
"Jia Yueting","764","2014","2000","Leshi Television","founder","entertainment","new","41","male","China","CHN","0.0","East Asia","founder non-finance","2.3","Non-Traded Sectors","True","Media","not inherited","True","True"
"Wang Changtian","764","2014","2000","Beijing Enlight","chairman","entertainment","new","48","male","China","CHN","0.0","East Asia","founder non-finance","2.3","Non-Traded Sectors","True","Media","not inherited","True","True"
"Xu Jingren","764","2014","1971","Yangtze River Pharmaceutical Group","founder","pharmaceuticals","new","69","male","China","CHN","0.0","East Asia","founder non-finance","2.3","New Sectors","True","Technology-Medical","not inherited","True","True"
"Xue Xiangdong","764","2014","2001","DHC Software","founder","software","new","55","male","China","CHN","0.0","East Asia","founder non-finance","2.3","New Sectors","True","Technology-Computer","not inherited","True","True"
"Jiang Rensheng","796","2014","2001","Chongqing Zhifei Biological Products","founder, chairman","pharmaceuticals","new","60","male","China","CHN","0.0","East Asia","founder non-finance","2.2","New Sectors","True","Technology-Medical","not inherited","True","True"
"Liu Zhongtian","828","2014","1993","Zhongwang Holdings","founder and chairman","aluminum","new","50","male","China","CHN","0.0","East Asia","founder non-finance","2.1","Traded Sectors","True","Non-consumer industrial","not inherited","True","True"
"Zhang Li","828","2014","1994","Guangzho R&F","chairman","real estate","new","61","male","China","CHN","0.0","East Asia","self-made finance","2.1","Financial","True","Real Estate","not inherited","True","True"
"Zhou Hongyi","828","2014","2005","Qihoo","founder","internet companies","new","43","male","China","CHN","0.0","East Asia","founder non-finance","2.1","New Sectors","True","Technology-Computer","not inherited","True","True"
"Zhu Gongshan","828","2014","2008","GCL-Poly Energy Holdings","founder","solar energy","new","56","male","China","CHN","0.0","East Asia","privatized and resources","2.1","Resource Related","True","Energy","not inherited","True","True"
"Cai Dongqing","869","2014","1999","Guangdong Alpha Animation and Culture Co","chairman","animation","new","44","male","China","CHN","0.0","East Asia","executive","2.0","New Sectors","True","Technology-Computer","not inherited","True","True"
"Chanchai Ruayrungruang","869","2014","1984","Reignwood Group","founder","real estate","new","60","male","China","CHN","0.0","East Asia","founder non-finance","2.0","Traded Sectors","True","Consumer","not inherited","True","True"
"Shen Guojun","869","2014","1988","Intime Retail","chairman","retail","new","51","male","China","CHN","0.0","East Asia","executive","2.0","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Sun Weijie","869","2014","1997","Yantai Jereh Oilfield Services Group","founder and chairman","oil exploration equipment","new","50","male","China","CHN","0.0","East Asia","founder non-finance","2.0","Traded Sectors","True","Non-consumer industrial","not inherited","True","True"
"Wang Wenxue","869","2014","1998","China Fortune Land Development","chairman","real estate","new","46","male","China","CHN","0.0","East Asia","self-made finance","2.0","Financial","True","Real Estate","not inherited","True","True"
"Wu Yiling","925","2014","1992","Yiling Pharmaceuticals","founder","pharmaceuticals","new","64","male","China","CHN","0.0","East Asia","founder non-finance","2.0","New Sectors","True","Technology-Medical","not inherited","True","True"
"Fu Meicheng","931","2014","2005","Zhejiang Huace Film & TV","chairman","media","new","56","male","China","CHN","0.0","East Asia","executive","1.9","Non-Traded Sectors","True","Media","not inherited","True","True"
"Mo Tianquan","931","2014","2012","SouFun Holdings","founder","internet","new","50","male","China","CHN","0.0","East Asia","founder non-finance","1.9","New Sectors","True","Technology-Computer","not inherited","True","True"
"Song Zuowen","931","2014","1978","Nanshan Group","founder","property, textile manufacturing","new","66","male","China","CHN","0.0","East Asia","privatized and resources","1.9","Financial","True","Diversified financial","not inherited","True","True"
"Li Shufu","973","2014","1986","Geely Automobile","founder","automobiles","new","50","male","China","CHN","0.0","East Asia","founder non-finance","1.9","Traded Sectors","True","Consumer","not inherited","True","True"
"Li Zhongchu","973","2014","1995","Beijing Shiji Information Technology","founder","software","new","50","male","China","CHN","0.0","East Asia","founder non-finance","1.9","New Sectors","True","Technology-Computer","not inherited","True","True"
"Sun Piaoyang","973","2014","1970","Jiangsu Hengrui Medicine","chairman","pharmaceuticals","new","55","male","China","CHN","0.0","East Asia","executive","1.9","New Sectors","True","Technology-Medical","not inherited","True","True"
"Che Fengsheng","988","2014","2001","Sihuan Pharmaceutical","founder","pharmaceuticals","new","51","male","China","CHN","0.0","East Asia","founder non-finance","1.8","New Sectors","True","Technology-Medical","not inherited","True","True"
"Chen Jinxia","988","2014","1994","Hunan Yongjin Group","relation","pharmaceuticals","new","45","female","China","CHN","0.0","East Asia","inherited","1.8","Financial","True","Diversified financial","spouse/widow","True","True"
"Liu Baolin","988","2014","1985","Jointown Pharmaceutical Group","chairman","pharmaceuticals","new","60","male","China","CHN","0.0","East Asia","executive","1.8","New Sectors","True","Technology-Medical","not inherited","True","True"
"Wu Guangming","988","2014","1998","Jiangsu Yuyue Medical Equipment and Supply","founder","medical equipment","new","52","male","China","CHN","0.0","East Asia","founder non-finance","1.8","New Sectors","True","Technology-Medical","not inherited","True","True"
"Zhang Zhirong","988","2014","2005","China Rongsheng","CEO","shipbuilding","new","45","male","Hong Kong","HKG","0.0","East Asia","executive","1.8","Traded Sectors","True","Non-consumer industrial","not inherited","True","True"
"Zhu Xingliang","988","2014","1994","Suzhou Gold Mantis","investor","construction","new","54","male","China","CHN","0.0","East Asia","executive","1.8","Non-Traded Sectors","True","Constrution","not inherited","True","True"
"Huang Li","1046","2014","1999","Wuhan Guide Infrared","founder","electronics","new","50","male","China","CHN","0.0","East Asia","founder non-finance","1.7","New Sectors","True","Technology-Computer","not inherited","True","True"
"Huang Wei","1046","2014","1993","Xinhu Zhongbao","president","real estate","new","54","male","China","CHN","0.0","East Asia","self-made finance","1.7","Financial","True","Real Estate","not inherited","True","True"
